"Date","Price","Open","High","Low","Vol.","Change %"
"16-08-2023","3,442.45","3,434.09","3,450.01","3,419.36","1.33M","0.25%"
"14-08-2023","3,433.94","3,424.83","3,439.07","3,395.27","1.19M","0.03%"
"11-08-2023","3,432.89","3,422.24","3,450.66","3,398.25","1.68M","0.19%"
"10-08-2023","3,426.23","3,434.09","3,448.92","3,414.23","1.10M","-0.59%"
"09-08-2023","3,446.53","3,448.92","3,451.01","3,409.25","1.79M","-0.23%"
"08-08-2023","3,454.59","3,467.98","3,473.85","3,440.66","1.63M","-0.39%"
"07-08-2023","3,467.98","3,438.02","3,471.91","3,425.38","1.85M","1.18%"
"04-08-2023","3,427.67","3,385.56","3,454.99","3,385.56","2.25M","1.28%"
"03-08-2023","3,384.27","3,404.23","3,417.42","3,352.47","2.03M","-1.18%"
"02-08-2023","3,424.78","3,419.11","3,430.50","3,397.86","1.91M","-0.33%"
"01-08-2023","3,436.13","3,399.25","3,444.04","3,399.25","1.96M","0.89%"
"31-07-2023","3,405.67","3,348.88","3,410.85","3,345.40","2.74M","1.97%"
"28-07-2023","3,339.93","3,369.39","3,378.05","3,315.64","2.60M","-1.22%"
"27-07-2023","3,381.23","3,379.29","3,395.92","3,369.44","1.70M","0.25%"
"26-07-2023","3,372.67","3,384.67","3,405.07","3,369.39","1.07M","-0.32%"
"25-07-2023","3,383.47","3,381.83","3,391.09","3,364.61","1.27M","0.13%"
"24-07-2023","3,379.09","3,365.41","3,397.71","3,356.55","1.68M","0.79%"
"21-07-2023","3,352.76","3,388.35","3,419.06","3,343.56","3.77M","-2.74%"
"20-07-2023","3,447.33","3,437.17","3,462.85","3,420.20","1.72M","-0.19%"
"19-07-2023","3,454.05","3,483.86","3,500.63","3,429.76","2.41M","-0.77%"
"18-07-2023","3,480.72","3,459.97","3,507.75","3,449.02","2.60M","0.15%"
"17-07-2023","3,475.60","3,493.81","3,533.53","3,461.01","2.74M","-0.65%"
"14-07-2023","3,498.44","3,349.48","3,508.59","3,336.54","6.31M","5.21%"
"13-07-2023","3,325.14","3,268.85","3,351.92","3,257.66","4.59M","2.47%"
"12-07-2023","3,244.86","3,265.82","3,273.98","3,235.11","1.52M","-0.38%"
"11-07-2023","3,257.31","3,279.80","3,279.80","3,245.76","1.11M","0.01%"
"10-07-2023","3,256.86","3,309.42","3,309.42","3,250.14","1.41M","-1.72%"
"07-07-2023","3,313.90","3,286.77","3,341.42","3,286.77","1.79M","0.19%"
"06-07-2023","3,307.57","3,291.30","3,313.10","3,286.77","1.85M","0.09%"
"05-07-2023","3,304.64","3,304.69","3,313.65","3,289.76","1.45M","0.34%"
"04-07-2023","3,293.59","3,274.83","3,299.71","3,262.19","1.66M","1.12%"
"03-07-2023","3,257.21","3,299.01","3,303.49","3,253.68","1.69M","-0.91%"
"30-06-2023","3,287.02","3,205.15","3,294.73","3,199.28","2.67M","2.70%"
"28-06-2023","3,200.62","3,193.21","3,216.05","3,178.67","1.58M","0.57%"
"27-06-2023","3,182.60","3,187.23","3,194.85","3,167.62","863.54K","0.24%"
